2022-10-24 09:12:28,980 DEBUG        (node7122, node6077) - port: 2, 100GB, 0.00485ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node3139, node3139_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node5213, node5890) - port: 2, 100GB, 0.00625ms, 4.5+14w
2022-10-24 09:12:28,980 DEBUG        (node3926, node3926_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,980 DEBUG        (node6629, node5903) - port: 2, 100GB, 0.00565ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node3926, node3926_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node6629, node7268) - port: 2, 100GB, 0.0053ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node6076, node6076_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node6629, node7785) - port: 2, 100GB, 0.006850000000000001ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node6076, node6076_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node5216, node5713) - port: 2, 100GB, 0.00495ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node4913, node4913_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node6415, node5815) - port: 2, 100GB, 0.005450000000000001ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node4913, node4913_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node6832, node5891) - port: 2, 100GB, 0.005200000000000001ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node6724, node6724_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node3211, node6028) - port: 2, 100GB, 0.005699999999999999ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node6724, node6724_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node3211, node6179) - port: 2, 100GB, 0.0069ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node7122, node7122_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node3211, node6870) - port: 2, 100GB, 0.0045000000000000005ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node7122, node7122_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node5299, node6042) - port: 2, 100GB, 0.00485ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node5213, node5213_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node7220, node6116) - port: 2, 100GB, 0.0049ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node5213, node5213_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node7220, node7844) - port: 2, 100GB, 0.00615ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node6629, node6629_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node4518, node2477) - port: 2, 100GB, 0.006600000000000001ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node6629, node6629_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node4518, node7483) - port: 2, 100GB, 0.0048ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node5216, node5216_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node4518, node7799) - port: 2, 100GB, 0.0061ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node5216, node5216_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node5083, node6176) - port: 2, 100GB, 0.0055000000000000005ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node6415, node6415_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node5879, node4432) - port: 2, 100GB, 0.005200000000000001ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node6415, node6415_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node5879, node6029) - port: 2, 100GB, 0.0058ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node6832, node6832_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node5879, node7713) - port: 2, 100GB, 0.00495ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node6832, node6832_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node3753, node4813) - port: 2, 100GB, 0.0044ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node3211, node3211_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node3753, node7201) - port: 2, 100GB, 0.0046500000000000005ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node3211, node3211_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node3753, node7655) - port: 2, 100GB, 0.0048ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node5299, node5299_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,981 DEBUG        (node5455, node5240) - port: 2, 100GB, 0.0058ms, 4.5+14w
2022-10-24 09:12:28,981 DEBUG        (node5299, node5299_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
