2022-10-24 09:10:05,144 DEBUG    route=92, drc=10, bs=node4812_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=98, drc=10, bs=node5891_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=104, drc=10, bs=node6586_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=109, drc=10, bs=node4820_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=128, drc=10, bs=node6389_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=140, drc=10, bs=node6630_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=152, drc=10, bs=node4183_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=164, drc=10, bs=node4400_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=176, drc=10, bs=node4402_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=188, drc=10, bs=node4972_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=200, drc=10, bs=node5216_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=212, drc=10, bs=node6578_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=218, drc=10, bs=node6778_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=224, drc=10, bs=node3211_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=236, drc=10, bs=node4518_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=242, drc=10, bs=node5299_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=248, drc=10, bs=node3713_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=260, drc=10, bs=node5655_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=272, drc=10, bs=node5989_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=284, drc=10, bs=node4912_bs1 -> 1.0
2022-10-24 09:10:05,144 DEBUG    route=290, drc=10, bs=node3753_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=302, drc=10, bs=node5455_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=314, drc=10, bs=node6290_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=326, drc=10, bs=node4432_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=332, drc=10, bs=node7997_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=337, drc=10, bs=node5376_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=349, drc=10, bs=node7287_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=361, drc=10, bs=node7519_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=367, drc=10, bs=node5771_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=385, drc=10, bs=node4913_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=391, drc=10, bs=node6242_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=397, drc=10, bs=node6512_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    route=410, drc=10, bs=node5712_bs1 -> 1.0
2022-10-24 09:10:05,145 DEBUG    ---- Centralization Locations:
2022-10-24 09:10:05,145 DEBUG    node=node5314, function=f3 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5314, function=f4 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5314, function=f5 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5314, function=f6 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5314, function=f7 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5314, function=f8 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5714, function=f3 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5714, function=f4 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5714, function=f5 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5714, function=f6 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5714, function=f7 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node5714, function=f8 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node6191, function=f3 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node6191, function=f4 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node6191, function=f5 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node6191, function=f6 -> 1.0
2022-10-24 09:10:05,145 DEBUG    node=node6191, function=f7 -> 1.0
2022-10-24 09:10:05,146 DEBUG    node=node6191, function=f8 -> 1.0
2022-10-24 09:10:05,146 DEBUG    node=node7187, function=f3 -> 1.0
2022-10-24 09:10:05,146 DEBUG    node=node7187, function=f4 -> 1.0
